UserId, SessionType, dt in ms, HeadOrigin.x, HeadOrigin.y, HeadOrigin.z, HeadDir.x, HeadDir.y, HeadDir.z, EyeOrigin.x, EyeOrigin.y, EyeOrigin.z, EyeDir.x, EyeDir.y, EyeDir.z, EyeHitPos.x, EyeHitPos.y, EyeHitPos.z
tester, TestScene,94.9903,0.04904686,-0.09428523,0.03883856,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1160.019,0.04883349,-0.09436806,0.03929469,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1301.19,0.04909845,-0.09438907,0.03868082,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1390.0107,0.049095,-0.09437563,0.03865438,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1449.9259,0.0491142,-0.09435755,0.03864668,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1510.0398,0.04910289,-0.09434626,0.03864199,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1559.6938,0.04914222,-0.09436683,0.03864963,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1619.7639,0.04909201,-0.0943376,0.0386237,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1680.1004,0.04900838,-0.09429312,0.03863627,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1729.7001,0.04913865,-0.09429187,0.03860706,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1779.7322,0.04903151,-0.09433234,0.03867307,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1819.9775,0.04902389,-0.09425902,0.03863273,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1880.5677,0.04910404,-0.09442107,0.03866106,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1914.5906,0.04895259,-0.09427126,0.03877849,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1949.8614,0.0490369,-0.09438016,0.03864268,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,1979.893,0.04901798,-0.09437275,0.03871493,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2019.9877,0.04905783,-0.09414516,0.03860683,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2069.8151,0.04910149,-0.09412458,0.03859632,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2109.9787,0.0490033,-0.094263,0.03868005,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2149.7417,0.04902431,-0.09427009,0.0387056,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2189.8845,0.04909373,-0.09424312,0.03867992,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2259.665,0.04901754,-0.09406842,0.03866524,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2299.7834,0.04896474,-0.09410118,0.03865195,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2350.0289,0.04910908,-0.09417278,0.03867736,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
tester, TestScene,2394.8234,0.04919338,-0.09391384,0.0390512,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN
